Temporada,Total de Vitórias,Total de Vitórias em Casa,Total de Vitórias fora de casa,Total de Derrotas,Total de Derrotas em casa,Total de Derrotas Fora de casa
2024,49,31,18,33,11,22
2025,29,17,11,24,9,15
