Nome,Temporada,Total de Pontos por Jogo,Total de Assistências por Jogo,Total de Rebotes por Jogo,Total de Cestas de 3 Pontos Convertidas,Derrotas em Casa,Derrotas Fora de Casa
Milwaukee Bucks,2025,114.3,25.3,44.0,14.4,9,15
Milwaukee Bucks,2024,119.0,26.5,44.2,14.2,11,22
