STATS,Total de Jogos,Média de Pontos,Média de Assistências,Média de Rebotes,Minutos em Quadra,Nome
Temporada Atual,44,7.704545454545454,1.2727272727272727,2.3181818181818183,21.977272727272727,Giannis Antetokounmpo
Carreira,833,23.774309723889555,4.917166866746698,9.881152460984394,32.86434573829532,Giannis Antetokounmpo
Temporada Atual,44,7.704545454545454,1.2727272727272727,2.3181818181818183,21.977272727272727,Damian Lillard
Carreira,885,25.136723163841808,6.759322033898305,4.266666666666667,36.25310734463277,Damian Lillard
Temporada Atual,44,7.704545454545454,1.2727272727272727,2.3181818181818183,21.977272727272727,Brook Lopez
Carreira,1075,15.896744186046512,1.4465116279069767,6.112558139534884,30.303255813953488,Brook Lopez
