Player,Median_PTS,Median_REB,Median_AST,Below_Median_PTS,Below_Median_REB,Below_Median_AST
Giannis Antetokounmpo,32.0,12.0,6.0,48.78%,39.02%,48.78%
Damian Lillard,25.0,4.0,7.0,39.53%,25.58%,37.21%
Brook Lopez,12.5,5.0,1.0,50.00%,44.00%,22.00%
