Player,Dev_PTS,Dev_REB,Dev_AST
Giannis Antetokounmpo,6.178566828726626,1.8130051081785843,2.8411604166905087
Damian Lillard,6.826419266350404,1.2215005084172057,2.4421887138969653
Brook Lopez,5.508184512010966,1.90600373597375,1.1671841502435294
