STATS,Total de Jogos,Média de Pontos,Média de Assistências,Média de Rebotes,Minutos em Quadra,Nome
Temporada Atual,41,31.75609756097561,5.878048780487805,12.170731707317072,34.90243902439025,Giannis Antetokounmpo
Carreira,833,23.774309723889555,4.917166866746698,9.881152460984394,32.86434573829532,Giannis Antetokounmpo
Temporada Atual,44,25.75,7.5,4.7272727272727275,36.5,Damian Lillard
Carreira,886,25.151241534988714,6.75959367945824,4.267494356659142,36.25620767494357,Damian Lillard
Temporada Atual,51,12.137254901960784,1.7058823529411764,4.686274509803922,31.84313725490196,Brook Lopez
Carreira,1076,15.887546468401487,1.4479553903345725,6.110594795539034,30.297397769516728,Brook Lopez
